id,zona,nombre,direccion,lat,lon,tipo,riesgo,mensaje,audio_hint,vibro_patron,radio_m,orden
21a600bc,U1-CIRCULACION PEATONAL,Punto U1-CIRCULACION PEATONAL 1,Carrera 26/Calle 23,7.0630066,-73.16952189999999,U1-CIRCULACION PEATONAL,medio,Atención: Andén de cc metro en autopista. Sigue con precaución.,—,corto,12,1
70ac4275,U1-CIRCULACION PEATONAL,Punto U1-CIRCULACION PEATONAL 2,Autopista #14-46,7.1047018,-73.1245861,U1-CIRCULACION PEATONAL,medio,Atención: tramo de acceso vehicular cc metro y cruce a Ardila Lule. Sigue con precaución.,—,corto,12,2
f4a7bc49,U1-CIRCULACION PEATONAL,Punto U1-CIRCULACION PEATONAL 3,calle 23/cra 24,7.073872,-73.1097362,U1-CIRCULACION PEATONAL,medio,Atención: desde cruce con cc metro hasta esquina Ardila Lule. Sigue con precaución.,—,corto,12,3
2ed3339d,U1-CIRCULACION PEATONAL,Punto U1-CIRCULACION PEATONAL 3,calle 23/cra 24,7.073872,-73.1097362,U1-CIRCULACION PEATONAL,medio,Atención: Esquina cra 25 a Cra 24 por la calle 23. Sigue con precaución.,—,corto,12,3
6083e757,U1-CIRCULACION PEATONAL,Punto U1-CIRCULACION PEATONAL 4,cra 24/calle 23,7.073872,-73.1097362,U1-CIRCULACION PEATONAL,medio,Atención: esquina optica hasta esquina clinica foscal. Sigue con precaución.,—,corto,12,4
1f05f873,U1-CIRCULACION PEATONAL,Punto U1-CIRCULACION PEATONAL 4,Cra 24/Calle 23,7.073872,-73.1097362,U1-CIRCULACION PEATONAL,medio,Atención: entrada ardila lule a acceso vehícular FCV. Sigue con precaución.,—,corto,12,4
b99a73d4,U1-CIRCULACION PEATONAL,Punto U1-CIRCULACION PEATONAL 5,Calle 27/Cra 23,5.3384434,-72.3916918,U1-CIRCULACION PEATONAL,medio,Atención: Anden FCV entrada 3. Sigue con precaución.,—,corto,12,5
30215fd0,U1-CIRCULACION PEATONAL,Punto U1-CIRCULACION PEATONAL 5,Calle 27/Cra 23,5.3384434,-72.3916918,U1-CIRCULACION PEATONAL,medio,Atención: clínica Foscal sede principal. Sigue con precaución.,—,corto,12,5
79361f3b,U1-CIRCULACION PEATONAL,Punto U1-CIRCULACION PEATONAL 5,Calle 27/Cra 25,7.119349,-73.1227416,U1-CIRCULACION PEATONAL,medio,Atención: Esquina FCV ambulantes. Sigue con precaución.,—,corto,12,5
2e41d06b,U1-CIRCULACION PEATONAL,Punto U1-CIRCULACION PEATONAL 6,Cra 23/Calle 25,7.1223052,-73.1365604,U1-CIRCULACION PEATONAL,medio,Atención: Urgencias clínica Foscal. Sigue con precaución.,—,corto,12,6
